time/total_timesteps,time/fps,time/episodes,time/time_elapsed,eval/mean_reward,eval/mean_ep_length,train/ent_coef_loss,train/ent_coef,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate
12500,,,,-4.2051517,8.4,,,,,,
12508,1639,1964,7,,,,,,,,
12533,1641,1968,7,,,,,,,,
12562,1643,1972,7,,,,,,,,
12582,1645,1976,7,,,,,,,,
12597,1646,1980,7,,,,,,,,
12600,,,,-6.2701075,9.0,,,,,,
12614,1638,1984,7,,,,,,,,
12641,1640,1988,7,,,,,,,,
12668,1642,1992,7,,,,,,,,
12695,1644,1996,7,,,,,,,,
12700,,,,-5.212397000000001,8.2,,,,,,
12722,1639,2000,7,,,,,,,,
12751,1641,2004,7,,,,,,,,
12776,1643,2008,7,,,,,,,,
12800,,,,-4.2194628000000005,7.3,,,,,,
12800,1637,2012,7,,,,,,,,
12823,1639,2016,7,,,,,,,,
12843,1640,2020,7,,,,,,,,
12871,1642,2024,7,,,,,,,,
12900,,,,-5.2829671,8.5,,,,,,
12905,1637,2028,7,,,,,,,,
12928,1639,2032,7,,,,,,,,
12964,1642,2036,7,,,,,,,,
12992,1644,2040,7,,,,,,,,
13000,,,,-4.2465716,8.2,,,,,,
13021,1639,2044,7,,,,,,,,
13043,1640,2048,7,,,,,,,,
13079,1643,2052,7,,,,,,,,
13100,,,,-4.4898725,8.2,,,,,,
13106,1637,2056,8,,,,,,,,
13127,1639,2060,8,,,,,,,,
13156,1641,2064,8,,,,,,,,
13186,1643,2068,8,,,,,,,,
13200,,,,-4.7419712,6.5,,,,,,
13215,1639,2072,8,,,,,,,,
13237,1641,2076,8,,,,,,,,
13264,1643,2080,8,,,,,,,,
13293,1645,2084,8,,,,,,,,
13300,,,,-7.4430671,9.0,,,,,,
13326,1640,2088,8,,,,,,,,
13343,1640,2092,8,,,,,,,,
13371,1643,2096,8,,,,,,,,
13400,,,,-4.9973374999999995,8.4,,,,,,
13404,1638,2100,8,,,,,,,,
13428,1639,2104,8,,,,,,,,
13443,1640,2108,8,,,,,,,,
13463,1641,2112,8,,,,,,,,
13487,1643,2116,8,,,,,,,,
13500,,,,-6.2839816,9.0,,,,,,
13503,1636,2120,8,,,,,,,,
13531,1638,2124,8,,,,,,,,
13566,1641,2128,8,,,,,,,,
13585,1642,2132,8,,,,,,,,
13600,,,,-7.1684837,9.0,,,,,,
13603,1636,2136,8,,,,,,,,
13639,1638,2140,8,,,,,,,,
13667,1640,2144,8,,,,,,,,
13686,1641,2148,8,,,,,,,,
13700,,,,-4.2069559,8.2,,,,,,
13708,1636,2152,8,,,,,,,,
13743,1638,2156,8,,,,,,,,
13770,1640,2160,8,,,,,,,,
13790,1641,2164,8,,,,,,,,
13800,,,,-6.6592006999999995,9.0,,,,,,
13803,1635,2168,8,,,,,,,,
13822,1636,2172,8,,,,,,,,
13844,1637,2176,8,,,,,,,,
13871,1639,2180,8,,,,,,,,
13896,1641,2184,8,,,,,,,,
